,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
403299,Paseo de la Ermita del Santo nº 48,Ermita Santo,13,Atrio de la ermita de San Isidro,Pº Ermita del Santo 78,Monumentos de la ciudad de Madrid,705.4642392472763
424804,Calle Sodio nº 1B,Embajadores 191,6,Auditorio del parque Enrique Tierno Galván,PARQUE ENRIQUE TIERNO GALVAN ,Monumentos de la ciudad de Madrid,749.9724728580616
30565,Plaza de Carlos Cambronero nº 2,Carlos Cambronero,5,Augusto d'Halmar,CALLE LORETO Y CHICOTE 8,Monumentos de la ciudad de Madrid,182.57143591601417
399718,Calle Hacienda de Pavones nº 342,Pavones,8,Aula de informática Reina Sofía,C Camino de la Arboleda ,Monumentos de la ciudad de Madrid,1342.8819273390538
288615,Paseo de la Castellana nº 42,Castellana 42,8,Ave Fénix,PASEO CASTELLANA 33,Monumentos de la ciudad de Madrid,142.844237903384
66408,Plaza de San Francisco nº 5,Plaza de San Francisco,13,Avenida Reyes Católicos,Pza San Francisco el Grande 1,Monumentos de la ciudad de Madrid,53.50022412877566
302954,Calle Segovia nº 45,Segovia 45,11,Azorín,Gta Azorín ,Monumentos de la ciudad de Madrid,174.57765045688024
52073,Calle del Marqués de Cubas nº 25,Marqués de Cubas,8,Azorín,C Zorrilla 21,Monumentos de la ciudad de Madrid,70.06192225895789
388971,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Baco,PARQUE ALAMEDA DE OSUNA ,Monumentos de la ciudad de Madrid,5797.012283733787
469612,Avenida Complutense nº 23,Facultad Derecho,5,Baco y Pomona en el jardín de la Quinta del duque del Arco,MONTE EL PARDO ,Monumentos de la ciudad de Madrid,12287.111843858384
405101,Calle Caramuel nº 51,Caramuel,14,Baden Powell,Ctra Zarzón ,Monumentos de la ciudad de Madrid,3581.2886750978887
204398,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Baldomero Fernández Espartero,C Francisco y Jacinto Alcántara 1,Monumentos de la ciudad de Madrid,501.65487979010754
75375,Calle Atocha nº 95,Santa Isabel,20,Baltasar Bachero,C Salitre 34,Monumentos de la ciudad de Madrid,195.76048824519918
385392,Calle Antonio López nº 129,Glorieta de Cádiz,7,Banda en los círculos, ,Monumentos de la ciudad de Madrid,1955.9980675306133
61042,Plaza de Jacinto Benavente,Jacinto Benavente,19,Barrendero madrileño,Pza Jacinto Benavente ,Monumentos de la ciudad de Madrid,17.623068206577024
64627,Plaza de Ramales,Plaza Ramales,8,Batalla de Lepanto,C Lepanto 2,Monumentos de la ciudad de Madrid,40.662163702869215
381812,Calle Desengaño nº 1,Desengaño,10,Beata Maria Ana de Jesús,C Valverde 15,Monumentos de la ciudad de Madrid,103.75900594617272
390773,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,Beatriz Galindo 'La Latina',Pza Puerta del Ángel ,Monumentos de la ciudad de Madrid,46.08965514306638
356726,Avenida de Concha Espina nº 34,Parque Berlín,7,Beethoven,PARQUE BERLIN ,Monumentos de la ciudad de Madrid,256.33131519580957
93303,Plaza de Santa Ana nº 10,Plaza de Santa Ana,22,Benito Pérez Galdos,CALLE HUERTAS 3,Monumentos de la ciudad de Madrid,59.67825924822178
129145,Avenida de Menéndez Pelayo nº 73,Puerta del Pacífico ,21,Benito Pérez Galdós,Gta Pérez Galdós ,Monumentos de la ciudad de Madrid,360.1174458610271
199032,Calle Arcipreste de Hita nº 12,Arcipreste de Hita A,20,Benito Pérez Galdós,CALLE HILARION ESLAVA 7,Monumentos de la ciudad de Madrid,133.21804950652276
114810,Calle Antonio Maura nº 15,Antonio Maura,9,Berenguela,Pº República Argentina ,Monumentos de la ciudad de Madrid,398.8737104016944
87931,Ronda de Atocha nº 34,Casa Encendida,12,Bernardino de Obregón,C Bernardino Obregón 1,Monumentos de la ciudad de Madrid,185.8089399951843
23420,Calle Conde Duque nº 22,Conde Duque,6,Bernardo López García,C Bernardo López Garcia 9,Monumentos de la ciudad de Madrid,121.3923838230364
191869,Calle Serrano nº 8,Columela,2,Berruguete,C Serrano 13,Monumentos de la ciudad de Madrid,192.84054508416403
190078,Calle Serrano nº 34,Colón B,9,Blanca de los Ríos,C Jorge Juan 7,Monumentos de la ciudad de Madrid,136.714180649072
464255,Avenida de la Complutense (Metro Ciudad Universitaria),Ciudad Universitaria 1,0,Blas Lázaro e Ibiza,Pza Ramón y Cajal 2,Monumentos de la ciudad de Madrid,236.79107413151723
100480,Plaza del Carmen nº 1,Plaza del Carmen ,7,Botica de José Ortega Hernández,C Montera 17,Monumentos de la ciudad de Madrid,76.98227815979646
16257,Plaza de San Miguel nº 9,Plaza de San Miguel,15,Botica de la Reina Madre,C Mayor 59,Monumentos de la ciudad de Madrid,24.430307635657194
362114,Glorieta de Quevedo nº 5,Quevedo,18,Bravo Murillo,CALLE BRAVO MURILLO 49,Monumentos de la ciudad de Madrid,43.34709344164334
367491,Calle General Ampudia nº 2,San Francisco de Sales,4,Britannia,C Guzmán el Bueno 133,Monumentos de la ciudad de Madrid,230.1479283537251
397956,Calle Arroyo de las Pilillas nº 6,Plaza del Encuentro,12,Burrito,C Pío Felipe 12,Monumentos de la ciudad de Madrid,1016.1257167246558
399749,Calle Hacienda de Pavones nº 342,Pavones,8,Busto Pablo Neruda,Avda Pablo Neruda 40,Monumentos de la ciudad de Madrid,1590.3048426014382
469638,Avenida Complutense nº 23,Facultad Derecho,5,Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,MONTE EL PARDO ,Monumentos de la ciudad de Madrid,12287.111843858384
18033,Calle Marqués de la Ensenada nº 16,Marqués de la Ensenada,0,Bárbara de Braganza,Pza Villa de París ,Monumentos de la ciudad de Madrid,63.74048958338955
399751,Calle Hacienda de Pavones nº 342,Pavones,8,Cabeza olmeca,Avda del Ensanche de Vallecas 13,Monumentos de la ciudad de Madrid,3376.8608584402527
53896,Calle Pavía nº 6,San Quintín,6,Cabo Luis Noval, ,Monumentos de la ciudad de Madrid,68.54107281677553
166793,Paseo de Recoletos nº 20,Biblioteca Nacional,2,Café Gijón,Pº Recoletos 21,Monumentos de la ciudad de Madrid,210.36183160387708
